company_name,company_address,postal_code,location,link,contact
EDEKA Peinelt,Mittelstr. 2,9623,Rechenberg-Bienenmühle,https://www.meinprospekt.de/rechenberg-bienenmuehle/filialen/edeka/210820,
EDEKA,Altenburger Str. 29,4603,Nobitz,https://www.meinprospekt.de/nobitz/filialen/edeka/238316,0 34 47 / 5 12 60
EDEKA,Dr.-W.-Külz-Str. 13,4600,Altenburg,https://www.meinprospekt.de/altenburg/filialen/edeka/269719,03447 5118950
EDEKA,Taubenherd 15,7619,Schkölen,https://www.meinprospekt.de/schkoelen/filialen/edeka/238377,03 66 94 / 3 61 31
EDEKA,Auerswalder Str. 5,9244,Oberlichtenau,https://www.meinprospekt.de/lichtenau-mittelsachsen/filialen/edeka/238412,037208 4718
EDEKA Gabriel,Freiberg Straße 31,9569,Oederan,https://www.meinprospekt.de/oederan/filialen/edeka/320312,
EDEKA,Burgstädter Str. 36,9236,Claußnitz,https://www.meinprospekt.de/claussnitz/filialen/edeka/238319,037202 2211
EDEKA Apel,Fischstr. 6,6712,Zeitz,https://www.meinprospekt.de/zeitz/filialen/edeka/238375,(03441) 21 21 14
EDEKA ROTHE,Schützenstr. 1,6712,Zeitz,https://www.meinprospekt.de/zeitz/filialen/edeka/346063,
EDEKA,Teplitzer Str. 40,9623,Frauenstein,https://www.meinprospekt.de/frauenstein/filialen/edeka/320301,037326 84866
EDEKA,Bahnhofstr. 28,9639,Lichtenberg,https://www.meinprospekt.de/lichtenberg-erzgebirge/filialen/edeka/290560,
EDEKA Müller,Bahnhofstr. 28,9638,Lichtenberg,https://www.meinprospekt.de/lichtenberg-erzgebirge/filialen/edeka/210742,
EDEKA,Fabrikstr. 37,4610,Meuselwitz OT Wintersdorf,https://www.meinprospekt.de/meuselwitz/filialen/edeka/238317,
EDEKA,Zuger Str. 2,9618,Brand-Erbisdorf,https://www.meinprospekt.de/brand-erbisdorf/filialen/edeka/320265,037322 474450
Raebiger,Frauensteiner Str. 22,9600,Weißenborn / Erzgebirge,https://www.meinprospekt.de/weissenborn-erzgebirge/filialen/edeka/210895,
EDEKA,Hirschsprungstr. 1,1773,Altenberg,https://www.meinprospekt.de/altenberg/filialen/edeka/345813,
EDEKA,Hirschprunger Str. 11,1773,Altenberg,https://www.meinprospekt.de/altenberg/filialen/edeka/210551,035056 229627
EDEKA,Schillerstr. 1,9648,Mittweida,https://www.meinprospekt.de/mittweida/filialen/edeka/238321,03727 612251
EDEKA,Markt 31,9648,Mittweida,https://www.meinprospekt.de/mittweida/filialen/edeka/271855,03727 2324
EDEKA,Zeitzer str. 143,6729,Elsteraue OT Draschwitz,https://www.meinprospekt.de/elsteraue/filialen/edeka/238315,03 44 24 / 2 10 20
EDEKA Raebiger,Forstweg 81,9599,Freiberg,https://www.meinprospekt.de/freiberg/filialen/edeka/210662,
EDEKA Müller,Str. des Friedens 32,6682,Teuchern,https://www.meinprospekt.de/teuchern/filialen/edeka/435013,(034443) 2 02 78
EDEKA,Mühlstr. 3,6682,Teuchern,https://www.meinprospekt.de/teuchern/filialen/edeka/238374,03 44 43 / 2 02 78
EDEKA,Elly-Kutscher-Str. 1a,6628,Bad Koesen,https://www.meinprospekt.de/naumburg-saale/filialen/edeka/238373,
EDEKA,Naumburger Str. 13,6628,Naumburg Saale-Bad Kösen,https://www.meinprospekt.de/naumburg-saale/filialen/edeka/238372,
EDEKA,Peniger Str. 3,4643,Geithain,https://www.meinprospekt.de/geithain/filialen/edeka/210670,034341 339811
EDEKA,Frankenberger Straße2,9661,Hainichen,https://www.meinprospekt.de/hainichen/filialen/edeka/210689,
EDEKA Fiedler,Eherne Schlange 4,9599,Freiberg,https://www.meinprospekt.de/freiberg/filialen/edeka/211021,
EDEKA Fiedler,Am Goldenen Löwen 14,9627,Bobritzsch-Hilbersdorf,https://www.meinprospekt.de/bobritzsch-hilbersdorf/filialen/edeka/210775,
EDEKA,Platz der Jugend 3 B,1774,Klingenberg,https://www.meinprospekt.de/klingenberg/filialen/edeka/210816,035058 41281
EDEKA Bellmann,Poststr. 1,9306,Rochlitz,https://www.meinprospekt.de/rochlitz/filialen/edeka/210823,
E center,Overwegstr. 10,6618,Naumburg (Saale),https://www.meinprospekt.de/naumburg-saale/filialen/edeka/272199,
E aktiv Markt Adamek,Friedrich-Nietzsche-Str. 2,6618,Naumburg,https://www.meinprospekt.de/naumburg-saale/filialen/edeka/271521,
EDEKA,Sachsenallee 28 B,4552,Borna,https://www.meinprospekt.de/borna/filialen/edeka/210589,03433 209460
EDEKA,Leipziger Str. 5 a,9603,Großschirma,https://www.meinprospekt.de/grossschirma/filialen/edeka/210685,037328 146769
EDEKA Fuhrmann,Schulplatz 5,4575,Neukieritzsch,https://www.meinprospekt.de/neukieritzsch/filialen/edeka/210771,
EDEKA,Promenade 1,6647,Bad Bibra,https://www.meinprospekt.de/bad-bibra/filialen/edeka/269772,
EDEKA Clausnitzer,Dresdner Str. 23,1768,Glashütte,https://www.meinprospekt.de/glashuette/filialen/edeka/210674,
EDEKA,Markt 8,1744,Dippoldiswalde,https://www.meinprospekt.de/dippoldiswalde/filialen/edeka/238414,03504 614147
EDEKA,Merseburger Str. 1,6632,Freyburg,https://www.meinprospekt.de/freyburg-unstrut/filialen/edeka/435197,
Supermarkt Schmidt,Bornaer Str. 25,4567,Kitzscher,https://www.meinprospekt.de/kitzscher/filialen/edeka/210718,
EDEKA Wallek,Merseburger Str. 48,6632,Freyburg (Unstrut),https://www.meinprospekt.de/freyburg-unstrut/filialen/edeka/238350,
EDEKA,Lessingstraße,4651,Bad Lausick,https://www.meinprospekt.de/bad-lausick/filialen/edeka/210570,
E center,Merseburger Str. 135,6667,Weißenfels,https://www.meinprospekt.de/weissenfels/filialen/edeka/238351,03 46 01 / 5 05 00
EDEKA Reichelt,Nordstr. 21,4746,Hartha,https://www.meinprospekt.de/hartha/filialen/edeka/444326,
EDEKA Reichelt,Nordstr. 30,4746,Hartha Bei Döbeln,https://www.meinprospekt.de/hartha/filialen/edeka/210690,
EDEKA,Am Bahnhof 2,4680,Colditz,https://www.meinprospekt.de/colditz/filialen/edeka/434916,
EDEKA Zellwaldcenter,Nossener Str. 5 a,9603,Großvoigtsberg,https://www.meinprospekt.de/grossschirma/filialen/edeka/320311,
EDEKA Karwath,August-Bebel-Str. 9,4571,Rötha,https://www.meinprospekt.de/roetha/filialen/edeka/210829,
EDEKA Karwath,August-Bebel-Str. 9,4471,Rötha,https://www.meinprospekt.de/roetha/filialen/edeka/320283,
EDEKA,Königstr. 53,1816,Bad Gottleuba,https://www.meinprospekt.de/bad-gottleuba-berggiesshuebel/filialen/edeka/320291,035023 51331
EDEKA Knobloch,Hauptstr. 53,1816,Bad Gottleuba,https://www.meinprospekt.de/bad-gottleuba-berggiesshuebel/filialen/edeka/210569,
EDEKA Richter,Haßlauer Str. 1,4741,Roßwein,https://www.meinprospekt.de/rosswein/filialen/edeka/210826,
EDEKA,Mörnerstr. 87,9629,Reinsberg OT Neukirchen,https://www.meinprospekt.de/reinsberg/filialen/edeka/444312,037324 7256
EDEKA Richter,Bismarckstr. 30,1680,Nossen,https://www.meinprospekt.de/nossen/filialen/edeka/320280,
EDEKA Richter,Bismarckstr. 30,1683,Nossen,https://www.meinprospekt.de/nossen/filialen/edeka/210778,
EDEKA,Colditzer Landstr. 1 B,4668,Grimma,https://www.meinprospekt.de/grimma/filialen/edeka/210681,034384 71645
EDEKA,Jahnstr. 62,4703,Leisnig-Fischendorf,https://www.meinprospekt.de/leisnig/filialen/edeka/434997,
Richter,Am Sportplatz 62,4703,Leisnig,https://www.meinprospekt.de/leisnig/filialen/edeka/434957,
EDEKA Richter,Am Sportplatz,4703,Leisnig,https://www.meinprospekt.de/leisnig/filialen/edeka/210737,
EDEKA Bühler,Rudolf-Breitscheid-str. 2,4720,Doebeln,https://www.meinprospekt.de/doebeln/filialen/edeka/210626,
EDEKA Rothe,Gustav-Adolf-Str. 32a,6686,Lützen,https://www.meinprospekt.de/luetzen/filialen/edeka/238313,
EDEKA Wahlbuhl,Erlenweg 3,6642,Nebra,https://www.meinprospekt.de/nebra-unstrut/filialen/edeka/270914,
EDEKA,Am Gleis 1,1723,Wilsdruff,https://www.meinprospekt.de/wilsdruff/filialen/edeka/345533,035204 788920
EDEKA Hill,Breite Str. 20,6231,Bad Duerrenberg,https://www.meinprospekt.de/bad-duerrenberg/filialen/edeka/238314,(03462) 86 84 70
EDEKA Grimma,Bahnhofstr. 3-5,4668,Grimma,https://www.meinprospekt.de/grimma/filialen/edeka/210680,(03437) 70 19 29
EDEKA,Städtelner Str. 54,4416,Markkleeberg,https://www.meinprospekt.de/markkleeberg/filialen/edeka/238312,03 41 / 3 53 90
EDEKA,Gabelsberger Str. 12,4668,Grimma,https://www.meinprospekt.de/grimma/filialen/edeka/320273,03437 7024858
EDEKA,Dorfplatz 1,1705,Freital-Pesterwitz,https://www.meinprospekt.de/dresden/filialen/edeka/210813,0351 6504174
EDEKA,Leipziger Str. 2,4420,Markranstädt,https://www.meinprospekt.de/markranstaedt/filialen/edeka/434932,
EDEKA Dresden-Prohlis,J.-Winter-Platz 13,1239,Dresden-Prohlis,https://www.meinprospekt.de/dresden/filialen/edeka/210633,
EDEKA Griese,Str. Des Friedens 64a,6217,Merseburg,https://www.meinprospekt.de/merseburg/filialen/edeka/238344,
EDEKA,Nürnberger Platz 1,1187,Dresden,https://www.meinprospekt.de/dresden/filialen/edeka/444299,0351 47934070
Edeka Schmidt,Dresdner Str. 6 B,1824,Königstein,https://www.meinprospekt.de/koenigstein-saechsische-schweiz/filialen/edeka/210722,035021 599547
EDEKA Megyesi,Zamenhofstr. 6,1257,Dresden,https://www.meinprospekt.de/dresden/filialen/edeka/210631,
EDEKA,Seehäuser Str.,6567,Bad Frankenhausen,https://www.meinprospekt.de/bad-frankenhausen-kyffhaeuser/filialen/edeka/238379,03 46 71 / 72 10
